z y Bx By Bz
-1.6962 -0.886076 0 1 -0.70945
-1.6962 -0.835443 0 1 -0.683388
-1.6962 -0.78481 0 1 -0.655459
-1.6962 -0.734177 0 1 -0.625614
-1.6962 -0.683544 0 1 -0.593819
-1.6962 -0.632911 0 1 -0.560054
-1.6962 -0.582278 0 1 -0.52432
-1.6962 -0.531646 0 1 -0.486638
-1.6962 -0.481013 0 1 -0.447054
-1.6962 -0.43038 0 1 -0.405639
-1.6962 -0.379747 0 1 -0.362488
-1.6962 -0.329114 0 1 -0.317724
-1.6962 -0.278481 0 1 -0.271499
-1.6962 -0.227848 0 1 -0.223985
-1.6962 -0.177215 0 1 -0.175383
-1.6962 -0.126582 0 1 -0.125911
-1.6962 -0.0759494 0 1 -0.0758037
-1.6962 -0.0253165 0 1 -0.025311
-1.6962 0.0253165 0 1 0.025311
-1.6962 0.0759494 0 1 0.0758037
-1.6962 0.126582 0 1 0.125911
-1.6962 0.177215 0 1 0.175383
-1.6962 0.227848 0 1 0.223985
-1.6962 0.278481 0 1 0.271499
-1.6962 0.329114 0 1 0.317724
-1.6962 0.379747 0 1 0.362488
-1.6962 0.43038 0 1 0.405639
-1.6962 0.481013 0 1 0.447054
-1.6962 0.531646 0 1 0.486638
-1.6962 0.582278 0 1 0.52432
-1.6962 0.632911 0 1 0.560054
-1.6962 0.683544 0 1 0.593819
-1.6962 0.734177 0 1 0.625614
-1.6962 0.78481 0 1 0.655459
-1.6962 0.835443 0 1 0.683388
-1.6962 0.886076 0 1 0.70945
-1.6962 0.936709 0 1 0.733706
-1.6962 0.987342 0 1 0.756227
-1.6962 1.03797 0 1 0.777087
-1.6962 1.08861 0 1 0.796369
-1.6962 1.13924 0 1 0.814158
-1.6962 1.18987 0 1 0.83054
-1.6962 1.24051 0 1 0.8456
-1.6962 1.29114 0 1 0.859425
-1.6962 1.34177 0 1 0.872097
-1.6962 1.39241 0 1 0.883699
-1.6962 1.44304 0 1 0.894308
-1.6962 1.49367 0 1 0.903998
-1.6962 1.5443 0 1 0.912841
-1.6962 1.59494 0 1 0.920903
-1.6962 1.64557 0 1 0.928247
-1.6962 1.6962 0 1 0.934933
-1.6962 1.74684 0 1 0.941014
-1.6962 1.79747 0 1 0.946543
-1.6962 1.8481 0 1 0.951567
-1.6962 1.89873 0 1 0.956129
-1.6962 1.94937 0 1 0.96027
-1.6962 2 0 1 0.964028
-1.64557 -2 0 1 -0.964028
-1.64557 -1.94937 0 1 -0.96027
-1.64557 -1.89873 0 1 -0.956129
-1.64557 -1.8481 0 1 -0.951567
-1.64557 -1.79747 0 1 -0.946543
-1.64557 -1.74684 0 1 -0.941014
-1.64557 -1.6962 0 1 -0.934933
-1.64557 -1.64557 0 1 -0.928247
-1.64557 -1.59494 0 1 -0.920903
-1.64557 -1.5443 0 1 -0.912841
-1.64557 -1.49367 0 1 -0.903998
-1.64557 -1.44304 0 1 -0.894308
-1.64557 -1.39241 0 1 -0.883699
-1.64557 -1.34177 0 1 -0.872097
-1.64557 -1.29114 0 1 -0.859425
-1.64557 -1.24051 0 1 -0.8456
-1.64557 -1.18987 0 1 -0.83054
-1.64557 -1.13924 0 1 -0.814158
-1.64557 -1.08861 0 1 -0.796369
-1.64557 -1.03797 0 1 -0.777087
-1.64557 -0.987342 0 1 -0.756227
-1.64557 -0.936709 0 1 -0.733706
-1.64557 -0.886076 0 1 -0.70945
-1.64557 -0.835443 0 1 -0.683388
-1.64557 -0.78481 0 1 -0.655459
-1.64557 -0.734177 0 1 -0.625614
-1.64557 -0.683544 0 1 -0.593819
-1.64557 -0.632911 0 1 -0.560054
-1.64557 -0.582278 0 1 -0.52432
-1.64557 -0.531646 0 1 -0.486638
-1.64557 -0.481013 0 1 -0.447054
-1.64557 -0.43038 0 1 -0.405639
-1.64557 -0.379747 0 1 -0.362488
-1.64557 -0.329114 0 1 -0.317724
-1.64557 -0.278481 0 1 -0.271499
-1.64557 -0.227848 0 1 -0.223985
-1.64557 -0.177215 0 1 -0.175383
-1.64557 -0.126582 0 1 -0.125911
-1.64557 -0.0759494 0 1 -0.0758037
-1.64557 -0.0253165 0 1 -0.025311
-1.64557 0.0253165 0 1 0.025311
-1.64557 0.0759494 0 1 0.0758037
-1.64557 0.126582 0 1 0.125911
-1.64557 0.177215 0 1 0.175383
-1.64557 0.227848 0 1 0.223985
-1.64557 0.278481 0 1 0.271499
-1.64557 0.329114 0 1 0.317724
-1.64557 0.379747 0 1 0.362488
-1.64557 0.43038 0 1 0.405639
-1.64557 0.481013 0 1 0.447054
-1.64557 0.531646 0 1 0.486638
-1.64557 0.582278 0 1 0.52432
-1.64557 0.632911 0 1 0.560054
-1.64557 0.683544 0 1 0.593819
-1.64557 0.734177 0 1 0.625614
-1.64557 0.78481 0 1 0.655459
-1.64557 0.835443 0 1 0.683388
-1.64557 0.886076 0 1 0.70945
-1.64557 0.936709 0 1 0.733706
-1.64557 0.987342 0 1 0.756227
-1.64557 1.03797 0 1 0.777087
-1.64557 1.08861 0 1 0.796369
-1.64557 1.13924 0 1 0.814158
-1.64557 1.18987 0 1 0.83054
-1.64557 1.24051 0 1 0.8456
-1.64557 1.29114 0 1 0.859425
-1.64557 1.34177 0 1 0.872097
-1.64557 1.39241 0 1 0.883699
-1.64557 1.44304 0 1 0.894308
-1.64557 1.49367 0 1 0.903998
-1.64557 1.5443 0 1 0.912841
-1.64557 1.59494 0 1 0.920903
